DATE,PS_LEVEL,PS_INNOV,PS_VWF
19810831,-0.07656454,-0.04329035,-0.00228753
19810930,-0.15284117,-0.11968354,0.09215227
19811030,-0.0456069,-0.00049745,-0.0210439
19811130,-0.03155473,-0.01102477,0.06184863
19811231,-0.0236116,0.02697445,0.00213751
19820129,-0.06997491,-0.05759624,-0.02072365
19820226,-0.12230408,-0.08135388,-0.01333119
19820331,-0.03095186,0.01093046,0.04197886
19820430,0.00482058,0.04552922,-0.02321061
19820528,-0.00251925,-0.00753664,0.02917381
19820630,-0.01228039,0.01984413,0.04984903
19820730,0.01259251,0.01797059,-0.01502625
19820831,-0.05756437,-0.03677018,-0.00536773
19820930,-0.02624405,0.0246841,0.0437058
19821029,-0.04193569,-0.00496104,-0.03929616
19821130,-0.00449682,0.02860498,0.00879567
19821231,0.00074366,0.03014783,-0.03053992
19830131,-0.02970777,0.0018964,-0.05248151
19830228,0.00850392,0.03964984,-0.03142298
19830331,-0.04780671,-0.02618218,0.04232334
19830429,-0.00442566,0.02556918,0.03817353
19830531,-0.07841554,-0.04555005,0.01981152
19830630,-0.00060702,0.05121966,-0.00126194
19830729,-0.04744861,-0.0239793,0.04732128
19830831,-0.0414434,-0.00992154,0.04410627
19830930,-0.02299806,0.02722747,0.00961408
19831031,0.03344276,0.06037183,0.05643815
19831130,0.01417651,0.05113283,-0.07100928
19831230,-0.03348628,0.01497831,0.04851882
19840131,-0.02523864,-0.0049716,0.0683123
19840229,-0.04212508,-0.0269784,0.00836751
19840330,-0.0098218,0.03073125,0.00565376
19840430,-0.08442124,-0.04664162,0.00360444
19840531,0.00696848,0.04651941,0.02462501
19840629,-0.01612776,0.02579994,-0.00416672
19840731,-0.02666257,0.01180929,0.01688635
19840831,0.00195462,0.03360659,-0.03233679
19840928,-0.01877213,0.01161752,0.02931051
19841031,-0.02984941,-0.01089608,-0.00565581
19841130,-0.00247202,0.00649543,0.0178727
19841231,-0.03583779,-0.00268666,-0.005676
19850131,-0.00842383,0.01723409,-0.01586984
19850228,-0.0141649,0.00656659,0.02514146
19850329,0.00721115,0.00747759,0.04011404
19850430,0.00918655,0.02943925,0.03827374
19850531,-0.0001228,0.02297161,-0.00770273
19850628,-0.00496763,-0.00197321,0.00711209
19850731,-0.01858933,0.02340971,-0.01788944
19850830,0.02646643,0.03504958,0.02688129
19850930,-0.02147641,-0.00858064,0.01065697
19851031,-0.01794789,-0.01256221,0.05136204
19851129,-0.00215273,0.02724025,0.00697318
19851231,-0.01521398,0.02494614,-0.01989964
19860131,-0.06552925,-0.03501782,0.01758328
19860228,-0.00921279,0.02063946,0.00235982
19860331,0.00795219,0.04514624,0.03947988
19860430,0.02940447,0.02444614,-0.00184481
19860530,0.00523409,0.01948271,0.02279717
19860630,-0.07055883,-0.06536077,0.05436224
19860731,-0.00224316,0.0186933,-0.01181405
